Time,Angle_rad,Center_X,Center_Y,Confidence
1.11,0.038086064,682.0314,515.8649,1
1.115,0.032773486,670.882,515.9028,1
1.12,0.0272085,659.2008,516.9524,1
1.125,0.02240135,649.1089,517.337,1
1.13,0.01703349,637.8386,516.9322,1
1.135,0.011461441,626.1385,517.7919,1
1.14,0.006590143,615.9092,517.7529,1
1.145,0.000936095,604.0358,517.74,1
1.15,-0.00402382,593.62,518.2586,1
1.155,-0.009227417,582.6927,517.6179,1
1.16,-0.014841878,570.9032,517.8582,1
1.165,-0.01984435,560.3996,518.3172,1
1.17,-0.025063338,549.4425,517.3505,1
1.175,-0.030243467,538.5684,517.1395,1
1.18,-0.03541931,527.705,517.7181,1
1.185,-0.041141415,515.6974,516.7466,1
1.19,-0.045926953,505.6573,516.2191,1
1.195,-0.050844666,495.3422,516.5409,1
1.2,-0.056242885,484.0222,515.5504,1
1.205,-0.061197477,473.6355,514.6932,1
1.21,-0.066354252,462.8283,514.3805,1
1.215,-0.07152621,451.993,513.4761,1
1.22,-0.076367684,441.8537,512.5047,1
1.225,-0.081617967,430.8625,511.9717,1
1.23,-0.086104691,421.4735,510.9236,1
1.235,-0.091411826,410.3724,510.0424,1
1.24,-0.096469609,399.7979,509.1536,1
1.245,-0.100635923,391.0911,507.7622,1
1.25,-0.105858359,380.1824,506.6449,1
1.255,-0.111021071,369.4044,505.8391,1
1.26,-0.115851118,359.3265,504.7023,1
1.265,-0.120585932,349.4528,503.5719,1
1.27,-0.12540544,339.4083,502.5512,1
1.275,-0.129578407,330.7162,501.0573,1
1.28,-0.134291755,320.9042,501.079,1
1.285,-0.13889968,311.3177,498.997,1
1.29,-0.143042205,302.7047,498.3389,1
1.295,-0.14753478,293.3697,496.7104,1
1.3,-0.151917243,284.2695,495.3402,1
1.305,-0.155714361,276.3897,493.8684,1
1.31,-0.160115797,267.2617,492.1107,1
1.315,-0.164308362,258.5729,490.4634,1
1.32,-0.16852133,249.8479,488.9957,1
1.325,-0.172577949,241.4526,488.161,1
1.33,-0.176494986,233.3518,486.4907,1
1.335,-0.180286346,225.5163,485.6837,1
1.34,-0.184156471,217.5236,483.5411,1
1.345,-0.187721495,210.1661,482.8315,1
1.35,-0.191310372,202.7644,481.4371,1
1.355,-0.194763124,195.6483,480.1318,1
1.36,-0.198148871,188.675,478.3602,1
1.365,-0.201076675,182.6487,477.2017,1
1.37,-0.204860006,174.8668,475.0721,1
1.375,-0.208184364,168.034,473.2409,1
1.38,-0.211506627,161.2103,472.3873,1
1.385,-0.214713216,154.6288,471.095,1
1.39,-0.21763069,148.6447,469.6814,1
1.395,-0.220060844,143.6631,469.1718,1
1.4,-0.223172371,137.2887,466.9641,1
1.405,-0.225858991,131.7884,466.3943,1
1.41,-0.228385349,126.6193,465.2426,1
1.415,-0.230631974,122.0251,463.2149,1
1.42,-0.233607147,115.9448,462.237,1
1.425,-0.235547674,111.9813,461.4723,1
1.43,-0.23772399,107.5384,460.1773,1
1.435,-0.239430861,104.0555,458.6382,1
1.44,-0.241505362,99.8244,457.6663,1
1.445,-0.243713799,95.3225,457.0208,1
1.45,-0.244671694,93.3706,455.8259,1
1.455,-0.246938055,88.7543,454.7841,1
1.46,-0.24879544,84.973,454.5196,1
1.465,-0.249997192,82.5274,454.274,1
1.47,-0.251393163,79.6875,453.156,1
1.475,-0.252371117,77.6986,453.0393,1
1.48,-0.253775567,74.8432,451.6533,1
1.485,-0.254901454,72.5549,450.8803,1
1.49,-0.255772209,70.7856,450.5523,1
1.495,-0.256354332,69.603,450.3191,1
1.5,-0.25725575,67.7721,450.4919,1
1.505,-0.25795334,66.3555,450.2357,1
1.51,-0.258438222,65.371,450.1269,1
1.515,-0.259445321,63.3266,449.5479,1
1.52,-0.25961589,62.9804,449.5298,1
1.525,-0.259733993,62.7407,449.459,1
1.53,-0.259726602,62.7557,449.4165,1
1.535,-0.259788783,62.6295,449.4047,1
1.54,-0.259759861,62.6882,449.4914,1
1.545,-0.259710145,62.7891,449.4768,1
1.55,-0.25942049,63.377,449.7755,1
1.555,-0.258949571,64.3329,449.7647,1
1.56,-0.258139848,65.9768,450.1626,1
1.565,-0.257476103,67.3246,450.3604,1
1.57,-0.256422858,69.4638,450.6829,1
1.575,-0.255396037,71.5499,450.7396,1
1.58,-0.254420858,73.5316,451.3307,1
1.585,-0.253213313,75.9862,452.0983,1
1.59,-0.25232499,77.7924,452.6416,1
1.595,-0.251257422,79.9636,453.4337,1
1.6,-0.25003243,82.4557,453.9951,1
1.605,-0.248421319,85.7345,454.4844,1
1.61,-0.246904268,88.8231,456.2524,1
1.615,-0.244222139,94.2866,455.9199,1
1.62,-0.243110589,96.5519,457.6552,1
1.625,-0.24101997,100.8142,457.6223,1
1.63,-0.239071776,104.7881,459.7016,1
1.635,-0.237072871,108.8674,460.1339,1
1.64,-0.234503981,114.1128,461.7935,1
1.645,-0.23226979,118.6774,463.1797,1
1.65,-0.229946154,123.4273,463.5868,1
1.655,-0.22732015,128.7984,466.097,1
1.66,-0.22502635,133.4927,466.5855,1
1.665,-0.219238661,145.3482,469.9223,1
1.67,-0.216872487,150.1995,470.02,1
1.675,-0.21319761,157.739,471.0118,1
1.68,-0.210704437,162.8575,472.9317,1
1.685,-0.207320016,169.8101,473.7733,1
1.69,-0.204248252,176.1247,475.7129,1
1.695,-0.200997606,182.8114,476.6799,1
1.7,-0.197726772,189.5441,478.2146,1
1.705,-0.194069825,197.0768,479.7795,1
1.71,-0.190380732,204.6812,481.4132,1
1.715,-0.187109638,211.4285,482.8193,1
1.72,-0.183057233,219.7932,484.0794,1
1.725,-0.179557921,227.0213,486.0086,1
1.73,-0.176005063,234.3647,486.9399,1
1.735,-0.171741827,243.1825,488.4185,1
1.74,-0.167251041,252.478,489.3443,1
1.745,-0.163261688,260.7415,491.0046,1
1.75,-0.159550014,268.4347,492.274,1
1.755,-0.155287689,277.2749,493.9746,1
1.76,-0.150835251,286.5157,495.3361,1
1.765,-0.146386931,295.7542,496.5563,1
1.77,-0.142079246,304.7064,498.6053,1
1.775,-0.137640087,313.9376,498.8349,1
1.78,-0.133420725,322.717,500.7079,1
1.785,-0.128933983,332.0582,501.4992,1
1.79,-0.124231258,341.8549,502.674,1
1.795,-0.119668415,351.3657,504.0581,1
1.8,-0.115020111,361.06,504.9963,1
1.805,-0.109958256,371.6227,505.7137,1
1.81,-0.104416923,383.1927,506.6799,1
1.815,-0.099945932,392.5328,507.6927,1
1.82,-0.095151229,402.5538,509.1274,1
1.825,-0.090800673,411.6505,510.0175,1
1.83,-0.085255576,423.2501,510.5352,1
1.835,-0.080744806,432.6901,512.2825,1
1.84,-0.075328363,444.03,512.6219,1
1.845,-0.070743421,453.6327,512.8555,1
1.85,-0.06552798,464.5597,514.4405,1
1.855,-0.060185185,475.7574,514.8972,1
1.86,-0.055294411,486.0109,515.3192,1
1.865,-0.050037926,497.0342,516.405,1
1.87,-0.044856994,507.9019,516.1115,1
1.875,-0.039817854,518.4746,516.556,1
1.88,-0.034464489,529.7089,517.6359,1
1.885,-0.029353453,540.4366,517.338,1
