Frame,Time_Sec,Center_X,Center_Y,Angle_rad
267,1.3350,731.7195,330.2796,0.0618
268,1.3400,700.3287,336.6614,0.0468
269,1.3450,662.2979,343.2009,0.0287
270,1.3500,626.3945,349.0590,0.0116
271,1.3550,579.2264,356.4347,-0.0109
272,1.3600,531.8362,361.1702,-0.0335
273,1.3650,486.1599,363.6184,-0.0552
274,1.3700,433.7891,363.6643,-0.0802
275,1.3750,382.0525,363.4335,-0.1050
276,1.3800,337.2219,361.9680,-0.1265
277,1.3850,285.8636,358.0473,-0.1511
278,1.3900,239.0904,353.7062,-0.1737
279,1.3950,200.3284,346.8177,-0.1925
280,1.4000,160.7507,341.7854,-0.2117
281,1.4050,127.2749,335.3469,-0.2281
282,1.4100,102.8857,329.9427,-0.2400
283,1.4150,81.0169,325.5636,-0.2507
284,1.4200,65.5874,320.8300,-0.2583
285,1.4250,55.1335,318.7585,-0.2635
286,1.4300,55.7319,318.6289,-0.2632
287,1.4350,60.3947,319.6014,-0.2609
288,1.4400,71.5665,322.9592,-0.2554
289,1.4450,90.2791,327.0549,-0.2462
290,1.4500,115.1383,332.3188,-0.2340
291,1.4550,142.5821,338.0223,-0.2206
292,1.4600,179.6728,344.4203,-0.2025
293,1.4650,221.6704,350.8680,-0.1821
294,1.4700,260.6189,355.8119,-0.1633
295,1.4750,309.8733,360.8248,-0.1396
296,1.4800,369.4540,363.2778,-0.1110
297,1.4850,413.4594,363.8081,-0.0899
298,1.4900,465.4947,363.1605,-0.0651
299,1.4950,525.5056,360.0868,-0.0365
300,1.5000,566.4870,357.1333,-0.0169
301,1.5050,614.3025,349.8625,0.0058
302,1.5100,656.0052,343.1621,0.0257
303,1.5150,688.8228,337.8124,0.0413
304,1.5200,722.5306,330.5584,0.0574
305,1.5250,750.3660,323.2856,0.0707
306,1.5300,768.1134,319.4212,0.0792
307,1.5350,784.3602,314.8029,0.0869
308,1.5400,791.5381,313.5408,0.0903
309,1.5450,792.4142,313.0845,0.0908
310,1.5500,789.7454,313.6099,0.0895
311,1.5550,778.7980,316.9023,0.0843
312,1.5600,765.1728,321.3394,0.0777
313,1.5650,742.0985,327.8499,0.0667
314,1.5700,710.8911,336.4516,0.0518
315,1.5750,682.5212,340.5587,0.0383
316,1.5800,643.0619,345.9511,0.0195
317,1.5850,598.6850,353.2623,-0.0016
